groupLocationId,primaryLocationId,groupName,primaryHotspotName
G201362078,L938744,"Charles Mill Lake","Charles Mill Lake Park"
G545399337,L391020,"Indian Creek Wildlife Area","Indian Creek Wildlife Area--Greentree Marsh"
G574350213,L2872821,"Pottersburg Bridge Trail","Pottersburg Bridge Trail (Union Co.)"
G975949868,L624700,"Clark County Fairground","Clark County Fairground--Gravel Pits"
G526524897,L3728945,"Little Beaver Creek Greenway Trail","Little Beaver Creek Greenway Trail--Lisbon Trailhead"
G410290014,L4501143,"Olentangy Trail","Olentangy Trail--Tuttle Park to Ohio State University Wetlands"
G372700334,L4305415,"Roxanna New Burlington Rd. Gravel Pit","Roxanna New Burlington Rd. Gravel Pit--South"
G006310243,L1608469,"Holmes County Trail","Holmes County Trail--Millersburg"
G446297545,L3718669,"Kokosing River","Kokosing River--Lower Gambier Rd. Access"
G479823890,L276151,"Indian Hollow Reservation","Indian Hollow Reservation--Sheldon Woods"
G495023223,L4376970,"Muskingum River State Park","Muskingum River SP--Lock 8, Rokeby"
G645809734,L3485711,"ReCreation Land","ReCreation Land--Chapel Dr."
G967993139,L1149214,"Shawnee State Park","Shawnee SP--Turkey Creek Lake and Lodge"
G784291587,L3100638,"Sippo Valley Trail","Sippo Valley Trail--Dalton"
G744656371,L303431,"Summit Bike and Hike Trail","Summit Bike and Hike Trail--Sagamore Hills"
G023614754,L611118,"Richland B&O Trail","Richland B&O Trail--Lexington Community Park"
G362660569,L211117,"Shawnee State Forest","Shawnee State Forest (Scioto Co.)"
G542929594,L5567818,"Egypt Valley Wildlife Area","Egypt Valley Wildlife Area--Egypt Valley North Rd."
G016449107,L510572,"Piedmont Lake","Piedmont Lake (Harrison Co.)"
G597903656,L11040040,"Conesville Coal Lands","Conesville Coal Lands (Coshocton Co.)"
G742328003,L1914849,"Mohican River Wildlife Area","Mohican River Wildlife Area (Coshocton Co.)"
G208944225,L4555235,"Woodbury Wildlife Area","Woodbury Wildlife Area--Coshocton Co. Rd. 4"
G824914922,L3043071,"Rush Creek Lake","Rush Creek Lake (Fairfield Co.)"
G432499079,L9660330,"Camp Chase Trail","Camp Chase Trail--Gardner Rd."
G282353208,L283828,"Senecaville Lake","Seneca Lake--South (Noble Co.)"
G061972818,L5764771,"Kokosing Gap Trail","Kokosing Gap Trail--Stull Rd."
G849582433,L1670506,"Indian Point Park","Indian Point Park--Upper Lot Entrance"
G656590463,L1920429,"Hach-Otis Sanctuary","Hach-Otis Sanctuary State Nature Preserve"
G837164770,L30518958,"Germantown MetroPark","Germantown MetroPark--Twin Valley Welcome Center"
G860565784,L3872058,"Canal Park","Canal Park--Towpath Trail"
G375776516,L11344163,"Middle Branch Trail","Middle Branch Trail--Saratoga Hills"
G956140450,L3703735,"Bolivar Dam","Bolivar Dam--Spillway Fishing Access"
G484873126,L3091767,"County Line Trail","County Line Trail--Sterling"
G276106670,L1914463,"Fish Creek Wildlife Area","Fish Creek Wildlife Area--Tract 1"
G332669157,L357232,"Scioto River Trail","Scioto River Trail--Dublin Rd."
G982746734,L361549,"Little Miami Scenic Trail","Little Miami Scenic Trail--Roxanna New Burlington Rd."
G775990732,L290888,"Pleasant Hill Lake","Pleasant Hill Lake (Richland Co.)"
G521294329,L2200123,"Union Cemetery, Columbus","Union Cemetery, Columbus--East"
G243757296,L8903630,"Cedarville University","Cedarville University--Campus"
G383006466,L11834531,"US-33 Huntsville Rest Area","US-33 Huntsville Rest Area Eastbound"
G882901468,L233665,"Miller Road Park","Miller Road Park, Avon Lake Power Plant"
G340603554,L5393931,"Toledo Zoo","Toledo Zoo--South Side"
G179782479,L618561,"Meander Reservoir","Meander Reservoir (Trumbull Co.)"
G172999569,L665009,"Walborn Reservoir","Walborn Reservoir (Stark Co.)"
G696768951,L790621,"Gorman Nature Center","Gorman Nature Center--Property and Trails"
G504712156,L14622805,"Scioto Trail State Forest","Scioto Trail State Forest--North Ridge Rd."
G039532941,L801130,"Caesar Creek Lake Wildlife Area","Caesar Creek Lake Wildlife Area--Young Rd."
G139706807,L7683290,"Big Walnut Creek Parkland","Big Walnut Creek Parkland--Cambria Way"
G272831220,L11210467,"Conotton Creek Trail","Conotton Creek Trail--Jewett Trailhead"
G585880893,L1918389,"Mary Jane Thurston State Park","Mary Jane Thurston SP (Henry Co.)"
G948420543,L685338,"Woodland Mound","Woodland Mound Park"
G982461773,L746215,"Dillon Wildlife Area","Dillon Wildlife Area--Pleasant Valley Rd. Access"
G915023559,L1402403,"Taft Reserve","Taft Reserve--Kraner Nature Center"
G909938587,L15151320,"East Fork Riparian Reserve","East Fork Riparian Reserve--East Side Trails (Clinton Co.)"
G776985375,L625220,"Berlin Lake","Berlin Mudflats"
G015061579,L11199392,"Muskingum Recreational Trail","Muskingum Recreational Trail--Rock Cut Rd. Trailhead"
G862529192,L3932547,"Mahoning Valley Trail","Mahoning Valley Trail--Greenbower to Price St."
G169834,L169834,"Funk Bottoms Wildlife Area","Funk Bottoms Wildlife Area (Wayne Co.)"
